episode,carol_adapted,carol_innate,bob_adapted,bob_innate,dave_adapted,dave_innate,carol_observed_ratio,carol_phi
1,0.1090,0.10,0.4000,0.40,0.9000,0.90,0.0000,1
2,0.1090,0.10,0.4000,0.40,0.9000,0.90,0.0000,1
3,0.1179,0.10,0.4000,0.40,0.9000,0.90,0.0000,1
4,0.1178,0.10,0.4000,0.40,0.9000,0.90,0.1000,1
5,0.1266,0.10,0.4000,0.40,0.9000,0.90,0.2143,0
6,0.1265,0.10,0.4000,0.40,0.9000,0.90,0.1500,1
7,0.1264,0.10,0.4054,0.40,0.9000,0.90,0.1364,1
8,0.1264,0.10,0.4107,0.40,0.9000,0.90,0.1786,1
9,0.1263,0.10,0.4160,0.40,0.8994,0.90,0.1471,1
10,0.1350,0.10,0.4160,0.40,0.8994,0.90,0.1579,1
11,0.1349,0.10,0.4159,0.40,0.8994,0.90,0.1538,1
12,0.1434,0.10,0.4159,0.40,0.8988,0.90,0.1429,1
13,0.1519,0.10,0.4158,0.40,0.8982,0.90,0.1702,1
14,0.1603,0.10,0.4210,0.40,0.8976,0.90,0.1702,1
15,0.1601,0.10,0.4262,0.40,0.8977,0.90,0.1600,1
16,0.1599,0.10,0.4313,0.40,0.8977,0.90,0.1455,1
17,0.1682,0.10,0.4363,0.40,0.8971,0.90,0.1724,1
18,0.1680,0.10,0.4362,0.40,0.8971,0.90,0.1667,1
19,0.1762,0.10,0.4411,0.40,0.8971,0.90,0.1587,1
20,0.1760,0.10,0.4410,0.40,0.8971,0.90,0.1538,1
21,0.1757,0.10,0.4459,0.40,0.8971,0.90,0.1538,1
22,0.1838,0.10,0.4458,0.40,0.8971,0.90,0.1571,1
23,0.1836,0.10,0.4457,0.40,0.8971,0.90,0.1549,1
24,0.1833,0.10,0.4505,0.40,0.8966,0.90,0.1818,1
25,0.1913,0.10,0.4553,0.40,0.8966,0.90,0.1772,1
26,0.1992,0.10,0.4600,0.40,0.8966,0.90,0.1951,1
